Title,Description,Date,Website,Data
MCV Holding Company LLC,"At Capital Power, we’re working to create a brighter world powered by responsible energy. Together, our thermal and renewable assets represent approximately 7,400 MW of generation capacity that is well-positioned to support the low-carbon energy system required for our longevity as a global community.",2022-11-01,https://www.capitalpower.com/,"
At Capital Power, we’re working to create a brighter world powered by responsible energy. Together, our thermal and renewable assets represent approximately 7,400 MW of generation capacity that is well-positioned to support the low-carbon energy system required for our longevity as a global community.
"
Midland Cogeneration Venture,Midland Cogeneration Venture (MCV) is the largest natural gas fired combined electrical energy and steam energy generating plant in the United States of America,2022-10-06,https://www.midcogen.com,"
Midland Cogeneration Venture (MCV) is the largest natural gas fired combined electrical energy and steam energy generating plant in the United States of America
"
Moscone Center,"Founded in 1981. Moscone Center is headquartered in San Fransisco, California. Moscone Center is a meeting and exhibition facility",2022-08-23,https://www.moscone.com/,"
HR Data, Exhibition data, Employees Data, Finance Data
"
AHT Wisconsin Windows,"AHT Wisconsin Windows is ready to help you make your home more beautiful, more comfortable and more energy-efficient with home improvements including replacement windows, patio doors, and beautiful entry doors.",2022-08-19,https://www.ahtwindows.com,"
AHT Wisconsin Windows is ready to help you make your home more beautiful, more comfortable and more energy-efficient with home improvements including replacement windows, patio doors, and beautiful entry doors.
"
Pilenpak,We continuously increase the value we create for our stakeholders by producinghigh quality and efficientpackaging material which will develop customer expectancy.,2022-08-18,https://www.pilenpak.com,"
We continuously increase the value we create for our stakeholders by producinghigh quality and efficientpackaging material which will develop customer expectancy.
"
Freyr Solutions,"Freyr is one of the largest, global, Regulatory-focused solutions and services companies for the Life Sciences industry supporting, Large, Medium, and Small size global Life sciences companies (Pharmaceutical | Generics | Medical Device | Biotechnology | Biosimilar | Consumer Healthcare | Cosmetics | Food and Food Supplements | Chemicals) in their entire Regulatory value-chain; ranging from Regulatory Strategy, Intelligence, Dossiers, Submissions, etc. to Post-approval/Legacy Product Maintenance, Labeling, Artwork Change Management, and other related functions",2022-08-08,https://www.freyrsolutions.com/,"
- Documents- Novartis internal audit- IT- Axicon-software- Technology- Financials- Business setup- Management- Scans- Projects- Partners documents- HR- Engineering- Client Services- Marketing- Forms & Templates and others.
"
"Delon Hampton & Associates, Chartered","In January 1973, Delon Hampton and Associates, Chartered was founded with the sole objective of creating a world-class engineering consulting firm specializing",2022-07-19,http://www.delonhampton.com,"
Customer Data, Employees Data, HR Data, Contracts, SSN, Financiles
"
Crupi Group,"The Crupi Group is an assembly of companies surrounding D. Crupi and Sons Ltd. to fulfill paving and road construction needs for developers, municipalities",2022-06-29,http://crupigroup.com,"
Passport scans, Signed contracts, invoices, payrolls, asphalt mix design reports, asphalt and concrete mix documentation, agreements, quality reports, NDA, Assets, licenses, vaccine records, legal, accidents reports, employee sign-in sheets, employee tracking, audits, corporate services access,accounts payble, statements, employee's reports of injury, personal medical data.
"
YMCA,"YMCA of South Florida has been dedicated to building healthy, confident and secure children, families and communities.",2022-06-14,http://www.ymcasouthflorida.org,"
Customer data, Employees data, HR Data, Financials
"
Medlab Pathology,"Medlab Pathology is one of Australia's largest, privately owned independent pathology practices",2022-06-14,http://medlab.com.au,"
Patients Data, Financial Data
"
Hirsch Watch Straps & Accessories,"HIRSCH develops and manufactures the most advanced, the most detailed and the finest bracelets in the world. HIRSCH bracelets are the most beautiful outfit for any watch and are eagerly sought-after accessories. In addition to durability, wearing comfort and appealing looks we bring the technical functionality of these smart companions of watches to perfection.",2022-05-17,http://hirschstraps.com,"
""We are world market leaders in our function as partners and the main suppliers of the Swiss watchmaking industry."" they said. Unfortunately, the privacy of the data was not as reliable as the accessory produced by the manufacturer and they had a complete data leak. Despite the fact that the management was aware of the leak, they did not take any steps to prevent incidents and, moreover, covered up this leak from all interested parties.We publish the firs part of data which contains internal contracts, certificates and licenses for products, technical cards of production, production management, loan agreements, financial statements e.t.It will be very useful to know for the Swiss watchmaking industries and their customers around the world
"
Hufcor,Movable glass wall company,2022-04-29,http://www.hufcor.com,"
Engineering Data, Financial data, Customer Data, Employee data
"
Grosvenor Engineering Group,Building services partner in Australia and New Zealand,2022-04-29,http://www.gegroup.com.au,"
Financial data, HR Data, Personnel data, lot's of employee data
"
Confcommercio - Alessandria - Home,"Italian General Confederation of Enterprises, Professions and Self-Employment, is the largest business association in Italy",2022-04-26,http://www.confcommercio.al.it,"
We've got over 700Gb of company data, personal data, employee data and other commercial data.
"
Broadleaf,Broadleaf is a family owned food distribution company supplying the highest quality meat and specialty foods to distributors and retailers across the,2022-04-11,https://broadleafgame.com/,"
Employees Personal Data, Customer Data, HR Data, Financial Reports, Engineering Data, Partner Contracts and so on.
"
Wolfe Industrial,"This diversity of services gives Wolfe the capability to handle a variety of projects related to material handling, air handling, custom conveyors and so on",2022-04-11,http://www.wolfeindustrial.com,"
Accounting Data, Customer Data, Engineering data and so on.
"
Altoona Area School District,"Altoona Area School District serves K-12th grade students and is located in Altoona, PA.",2022-02-02,http://aasdcat.com,"
Altoona Area School District serves K-12th grade students and is located in Altoona, PA.

"
Chattanooga Chamber of Commerce,Chattanooga Chamber of Commerce,2021-12-31,https://www.chattanoogachamber.com/,"
Sample of signatures, signed internal documents, W-9, lists of employees, budget data, investor lists with phones and e-mail, financial documents, Payroll data, Lots of W-2 (2016-2020), Accounting files, Audits, Banking, PAYROLL information , Passwords, Drive Licenses, Credit Cards, Personal Data with SSN, Passwords from banks from other companies, Client Documents, Signatures of employees, employee salary, payments for honey services, bank checks
"
Zepter,"Zepter International is a global enterprise which produces, sells and distributes exclusive, high-quality consumer goods around the world",2021-12-09,https://www.zepter.com/,"
Personal data of employees, scans of passports and IDs (including the founders of Zepter), certificates of vaccination, technical products data, drawings, technical and accounting information from various companies in the Zepter Group, employee work documents, employee lists, various corporate passwords 
"
The Jewelry Exchange is the Nations #1 Diamond Store.,Jewelry,2021-12-09,https://www.jewelryexchange.com/,"
Driver Licenses, scans of bank cards with personal information, financial documents, records of conflict situations with clients and pre-trial letters, certificates for precious stones, resume and background of employees, internal corporate documents, inventories, checks, images from surveillance cameras, information on equipment, sales data, purchase orders
"
PVR Ltd.,Revenue $34 Billion! All data is available!,2021-10-18,https://www.pvrcinemas.com/,"
Full dump of information is available!1 TB !Free to download and use!PVR Ltd. is the market leader in terms of screen count in India. Since 1997, the brand has redefined the cinema industry and the way people watch movies in the country. The Company has, over the years, consistently added screens, both organically and inorganically, through strategic investments and acquisitions which includes ‘Cinemax Cinemas’ in November 2012, ‘DT Cinemas’ in May 2016 and ‘SPI Cinemas’ in August 2018 which added 138 screens, 32 screens and 76 screens respectively to our screen network. Currently, we operate 846 screens in 176 cinemas in 71 cities in India and Sri Lanka with an aggregate seating capacity of approximately 1.82 lakhs seats.
"
Lightbank,Why Eric Lefkofsky https://en.wikipedia.org/wiki/Eric_Lefkofsky bought himself a bank and investment companies?  We have about 150 Gb of confidential information.  It will be breaking news! All of the data will be published on October 28th.,2022-10-18,https://www.lightbank.com/,"
Why Eric Lefkofsky https://en.wikipedia.org/wiki/Eric_Lefkofsky bought himself a bank and investment companies?
"
Instituto Agrario Dominicano,"The Dominican Agrarian Institute is a decentralized government agency under the Ministry of Agriculture,established by Law No. 5879 as of April 27, 1962, with the aim of carrying out agrarian reform programs throughout the national geography by seizing and distributing land to peasants to transform the structure and agricultural production, improving living conditions in a Dominican villages.",2022-09-01,https://iad.gob.do/,"
Databases, applications, emails, etc.,
"
Acquarius Trust Group,"Based in Gibraltar, the Acquarius Trust Group is a group of inter-related companies which together, have a proven track record of expertise and excellence in the management of Companies, Trusts, Foundations and Pensions.  We provide our fiduciary services under license and regulation of the Gibraltar Financial Services Commission, (permission no: 5136).",2022-08-19,https://acquarius.gi,"
Based in Gibraltar, the Acquarius Trust Group is a group of inter-related companies which together, have a proven track record of expertise and excellence in the management of Companies, Trusts, Foundations and Pensions. We provide our fiduciary services under license and regulation of the Gibraltar Financial Services Commission, (permission no: 5136).
"
Orotex,Orotex Corporation's goal is to achieve complete customer satisfaction and to meet or exceed our customer's requirements.,2022-08-19,http://www.orotexus.com,"
Orotex Corporation's goal is to achieve complete customer satisfaction and to meet or exceed our customer's requirements.
"
Radical Sportscars,"Radical Sportscars is headquartered in Peterborough, UK and is responsible for developing, manufacturing and racing",2022-08-18,https://www.radicalmotorsport.com/,"
Radical Sportscars is headquartered in Peterborough, UK and is responsible for developing, manufacturing and racing
"
BEESENSE,"BeeSense designs, develops and manufactures advanced, unique, multi-sensor technology-based solutions and independent, wireless communication & power infrastructures for intelligence, surveillance and reconnaissance in the homeland security and defense sectors.",2022-08-04,https://beesense-sys.com/,"
-Source code of SERAPHIM, Harhony, iVMS-4200, and etc. - Software for echolocation equipment, for CCTV, for maps - Softwares, software, projects, equipment drawings: Bee3 Bee5 Compact & sophisticated day & night, dual-sensor surveillance system FireFly 500 FireFly Mantis 3 Stand-off radar- integrated surveillance - and other - Working cards with sensors installed - SQL, xmpp, JIRA, HASHREP, Tamal, synel - WhatsApp messages, emails, internal chat - Financial documents: sales, contracts, annual reports, expense planning, payroll, bookkeeping - Purchasing and sales information (collaboration) with many countries - Personal documents for employees: resumes, employment contracts, contracts, document scans. - A lot of research software
"
Broshuis | Driving innovation,"Broshuis B.V. is a 100% family owned, Dutch company and one of the largest specialty trailer manufacturers in Europe.",2022-07-18,http://www.broshuis.com,"
Employees data, customer data, Financial Data, HR Data
"
ZEUS Scientific,This company provides medical testing equipment and diagnostic services.,2022-06-29,https://www.zeusscientific.com/,"
Description Dates:- Complete archives of all Research Projects and Developments, both current and past- Full archives of all commercial Projects and Designs- Full test results of all Projects and Studies- Source AtheNA and ELISA - Full QS Data Databases for the whole period of company existence- Full backups and SAP SQL databases for the whole period of our business- Various other SQL databases for the entire period of the company's operation- Contracts, Accounting Balances, Scans, Invoices, etc.- Various Email correspondence- Personal information of company employees- Outlook .pst backups
"
Shred Station,Shred Station understand that secure destruction of your confidential &/or sensitive documents is a serious business - hence we offer the very best in high security shredding services.,2022-06-14,https://www.shredstation.co.uk/,"
Customer Data, HR Data, Employees Data, Financials
"
Florida Department of Veterans' Affairs,Connecting veterans to federal and state benefits they have earned.,2022-05-27,https://www.floridavets.org/,"
All possible data: veterans data, employees data, financial data, HR data, contracts with suppliers, tax and ssn data and so on
"
Valley Rentals,real estate investment company,2022-04-29,http://www.valleyrentals.com,"
employee and customers personal data with SSN and full address, DL , financial documents, client documents, contracts, invoices, statements, insurance documents
"
Drive Products,"Drive Products now offers a complete range of truck mounted equipment, products, services and solutions through a growing branch and partner network across Canada",2022-04-29,https://driveproducts.com/,"
Personal Data, Finanacial Data, Partner Data, HR data
"
Tehama County Social Services,Tehama County in California,2022-04-28,http://www.tcdss.org,"
Financial information, budgets, fiscal docs, contracts, HR data, resumes, payrolls, clients personal data, scans ID, scans SSN, personal info, scans certificates, incident reports, COVID vaccine cards, personal medical information, death lists, criminal record documents, Protective Custody Removal Warrants, many working documents, confidential documents, birth certificates, medication lists, children documents, court reports, client base with addresses and phones, MEDS program access, insurance documents
"
Camden City School District,Camden City School District,2022-04-20,https://camdencityschools.org/,"
Lots of student and employees personal data
"
JetStar,JetStar is an Australian low-cost airline that offers multiple flights at very low costs.,2022-04-11,https://www.jetstar.com,"
Financial Data, HR Data, Employees Data including Payroll, Personal data for majority of employees, Customer data.
"
InfoTek Consulting Services,"Headquartered in Toronto and conducting business all over the US and Canada and doing business for over twenty years, our dedication and staff make us one of the leading IT consulting firms in North America",2022-02-28,http://www.infotek-consulting.com,"
Personal data - scans of ID, DL, W9 and other tax forms, employee contracts, a lot of resumes (background, phone numbers, addresses and other personal data), accounting and financial internal information, bank information, budgets, signed documents, insurance documents, management data, contracts with clients, contracts with companies. We also have a bonus data fromProdigy Systems inc (www.prodigysys.com)
"
Maple Lodge Farms,"Founded in 1955, Maple Lodge Farms is a company that produces, processes, and markets chickens and chicken products",2022-01-31,https://maplelodgefarms.com,"
Documents: Financial information, reports, contractsHR: personal employees dataOther: media material from manufacturing, projects, etcNotes:Company avoids negotiations in any way.Animal Advocates Groups, please keep eyes on publication. We sincerly hope you will find something interesting in the data.
"
Biotique,"manufactures a variety of herbal Cosmetics, Herbal Supplements, and Herbal beauty product",2021-12-23,https://www.biotique.com,"
Passport scans, credit card scans, recipes for making cosmetics, Financial statements 2018-2021, sales reports and purchases 2020-2021.
"
PRIDE Community Services,"PRIDE Community Services makes a positive impact on the lives of those in need by bringing together educational, financial and human resourcesPRIDE Community Services",2021-12-09,https://www.facebook.com/FPRIDECOMMUNITYSERVICES/,"
SSN scans, employees personal data,W9, driving license scans, covid test results, insurance scans, W2 etc
"
UABL S.A.,"UABL S.A. is located in Ciudad de Buenos Aires, Argentina and is part of the Inland Water Transportation Industry",2021-11-30,http://www.atrialogistica.com/,"
We have obtained following data:1) passport and id scans2) insurance data3) employees' medical records4) work certificates for over 500 employees5) immigration-related documents6) personal data for over 200 employees including covid status, personal address, phone7) financial data for 2017-20218) contracts9) mailing backup10) various water vehicles schemasand so on...
"
"Midland Cogeneration Venture, Michigan","Midland Cogeneration Venture is the largest natural gas-fired combined electrical energy and steam energy generating plant in the United States of America. The facility is a major supplier of electrical energy to customers in Michigan and the midcontinent, and a supplier of bulk process steam energy to nearby chemical production companies. In 2022, Capital Power partnered with Manulife Investment Management to acquire the facility and is responsible for the operations and maintenance of the facility.",2022-10-11,https://www.capitalpower.com/operations/midland/,"
Midland Cogeneration Venture is the largest natural gas-fired combined electrical energy and steam energy generating plant in the United States of America. The facility is a major supplier of electrical energy to customers in Michigan and the midcontinent, and a supplier of bulk process steam energy to nearby chemical production companies. In 2022, Capital Power partnered with Manulife Investment Management to acquire the facility and is responsible for the operations and maintenance of the facility.
"
Avante Health Solutions,"Avante Health Solutions is a single source provider of medical, surgical, diagnostic imaging, and radiation oncology equipment, including sales, service, repair, parts, refurbishing, and installation. Avante is making it easier and more affordable for every hospital, clinic, and medical practice to have the very best equipment, supplies and service.",2022-08-23,https://avantehs.com,"
Financial Data, Customer Data, HR Data, Employees Data, etc
"
ChemiFlex,"For over 40 years, Chemi-Flex has served as the leading designer and manufacturer of polyurethane timing belts, silicone timing belts, molded urethane parts",2022-08-19,https://www.chemiflex.com/,"
For over 40 years, Chemi-Flex has served as the leading designer and manufacturer of polyurethane timing belts, silicone timing belts, molded urethane parts
"
Shaw & Slavsky,"Shaw & Slavsky was founded in 1932 as a manufacturer of POP signs for grocery retailers.  Since our inception, we have provided innovative signage and merchandising solutions for retailers.  We have over 100,000 square feet of manufacturing capacity to build stock and custom signage and fixtures.",2022-08-19,http://www.shawandslavsky.com/,"
Shaw & Slavsky was founded in 1932 as a manufacturer of POP signs for grocery retailers. Since our inception, we have provided innovative signage and merchandising solutions for retailers. We have over 100,000 square feet of manufacturing capacity to build stock and custom signage and fixtures.
"
"Moskowitz, Mandell & Salim, P.A.","Moskowitz, Mandell & Salim, P.A. was established in 1985 and provides legal services in areas of governmental approval, commercial real estate, zoning and land use, corporate transactional law, estate planning, and community association law with emphasis on complex commercial litigation.  ​",2022-08-18,https://www.mmsslaw.com,"
Lots of working papers, contracts, insurance documents, Client's agreements and disclosures (signed), client's accidents documents, court documents, tax returns, client personal information, scans credit cards with CVV, W9 forms with personal data, 401K forms, 1040 forms, W2 forms, W4 forms, resumes, recommendation letters, driver licenses, car insurance, medicare, medical personal information, invoices, wires, payrolls.
"
Liftow LTD,"Founded in 1960, Liftow is a Toyota forklift dealer group in North America. They offer new and pre-owned inventory of forklifts as well as parts and services.",2022-08-04,https://liftow.com/,"
- data on employees (employment contracts, phones, on all employees ssn numbers, dates of birth, verification forms, payrolls) - Finance (bank statements, tax returns, various invoices, payment documents) - Clients (lease agreements, sales agreements, supply agreements, mutual settlements, mail, addresses, phones) - Sales information - Databases sql , qlikview, GoldMine
"
American International Industries,"Founded in 1971, American International Industries is a manufacturer and distributor of beauty and skin care products.",2022-07-12,http://www.aiibeauty.com,"
Finance data, corporate data, employee data, HR data, customer data.
"
RG Alliance Group,"R.G. Alliance is an Outsourced Financial Consulting firm based in San Diego, California. It provides services to businesses of all sizes and stages of growth.",2022-06-16,http://www.rgalliance.com,"
"
M. Green and Company LLP,Certified Public Accountants,2022-06-14,http://mgreencpas.com,"
Customer Data, Employees Data, HR Data, Financials
"
Tex-Isle Supply,"Tex-Isle Supply, Inc. is a leading distributor of high quality energy tubulars, with value-added manufacturing and processing capabilities",2022-05-17,https://www.texisle.com/,"
DATA: W9 forms, invoices, TX Direct pay certificates, 1099 forms, Statements, Vendors documents, Employees documents, Customers documents, Payrolls, Insurance documents, Sales, Fixed Assets information, Leasing information and documents, Inventory, Banking documents, Audit reports, Wire payments data, signed NDAs, HR data, Top management personal info (include children's documents and current assets)
"
Petro Serve,"Largest supplier of home heating, commercial and agricultural fuel, and propane and lubricating oil",2022-04-29,https://www.petroserveusa.com/,"
Financial documents, tax documents, payrolls, W-9 forms, 1099-K forms, W-2 forms, personal data with SSN, Accounting data, sales, invoices, statements, contracts, medical documents, Financial Statements 2011-2022 (All DEPT)
"
Henry,"Henry Company is an innovator of building envelope systems and develops integrated air/vapor barrier, roofing and waterproofing systems",2022-04-29,http://www.henry.com,"
Personal data, Financial data, engineering data, customer data, employee data.
"
Elgin County,Elgin County was founded in 1852 and is a county of the Canadian province of Ontario,2022-04-27,http://www.elgincounty.ca,"
Financial, engineering, HR and other data.
"
Hi Tech HoneyComb,Hi Tech Honeycomb Inc. is a leading manufacturer and supplier of honeycomb detail for gas turbine engine seals.,2022-04-11,http://www.hitechhoneycomb.com,"
Employees Personal Data, Customer Data, HR Data, Financial Reports, Engineering Data, Partner Contracts and so on.
"
Service Employees' International Union,"SEIU represents approximately 100,000 members. SEIU represents members who work for school boards, home care agencies, hospitals, special care homes, retirement homes, emergency services, social services, and municipalities, among many others",2022-04-11,http://www.seiuwest.ca,"
Employees Data, Labor Data, Customer Data, Financial Reports, Signed Forms, Personal data for Thousands of members.
"
Jazeera Airways,Jazeera Airways K.S.C is a Kuwaiti airline with its head office on the grounds of Kuwait International Airport.,2022-02-07,https://www.jazeeraairways.com/,"
Documents: finances, internal documentation, incident investigations, procedures, etcContracts: clients, suppliers, GSAs (commissions, incentives etc) etcEmployees: full employees info, including contracts and salaries of crew members, examination lists, incidents etcPassengers: over 3 million records database dump with actual and historical bookings, documents, plain-texted credit-cards, contactsExtra: personal documents of government persons from different countries and their families
"
Lewis & Clark College,"L&C, founded in 1970, is a two-year higher education institution with multiple campuses, a river research center, humanities center, training center",2022-01-13,http://www.lclark.edu,"
Personal Data for Students and teachers, financial data, etc
"
Sodiba,"Producer and distributor of drinks based in Luanda, Angola. The company offers Luandina and Sagres utilizing german technology allowing production in accordance with the international standards.",2021-12-23,https://sodiba.com/,"
Supply of goods, technical cards of production, internal contracts, certificates and licenses for products, loan agreements, scans of passports, financial statements 2017-2021
"
Digital Workplace Services & Solutions,Digital Workplace | Enterprise Mobility | IoT | ISEC7 SPHERE | Mobile Exchange Delegate,2021-12-09,https://www.isec7.com/,"
Various Mobile Apps (Blackberry, IOS, Android etc)
"
TILIA GROUP,"In 2019, Tilia's revenue reached 34.27 billion EUR (40.7 billion USD), with more than 500 projects worldwide.",2021-10-18,https://tilia.info/,"
n 2019, Tilia's revenue reached 34.27 billion EUR (40.7 billion USD), with more than 500 projects worldwide.Almost 500 GB of data was stolen! A lot of confidential information, financial papers, passports, project documents etc.
"
